sender,receiver,amount,timestamp,location,type,hour,location_encoded,type_encoded,anomaly,ml_flag
user_3,user_67,127903.61,2026-02-23 08:54:46.064634,Port Harcourt,deposit,8,4,0,1,NORMAL
user_34,user_30,5796.76,2026-02-12 06:11:46.064634,Ibadan,withdrawal,6,1,2,1,NORMAL
user_40,user_18,134980.03,2026-02-04 20:27:46.064634,Port Harcourt,transfer,20,4,1,1,NORMAL
user_7,user_64,31600.7,2026-02-01 18:28:46.064634,Port Harcourt,transfer,18,4,1,1,NORMAL
user_24,user_43,27971.6,2026-03-19 00:44:46.064634,Lagos,transfer,0,3,1,1,NORMAL
user_26,user_3,73139.07,2026-03-06 07:14:46.064634,Abuja,withdrawal,7,0,2,1,NORMAL
user_26,user_68,69495.35,2026-01-16 16:39:46.064634,Lagos,transfer,16,3,1,1,NORMAL
user_45,user_21,388084.89,2026-01-29 06:52:46.064634,Lagos,withdrawal,6,3,2,1,NORMAL
user_34,user_25,72437.29,2026-02-08 21:18:46.064634,Kano,deposit,21,2,0,1,NORMAL
user_37,user_20,103526.11,2026-03-14 19:23:46.064634,Kano,deposit,19,2,0,1,NORMAL
user_32,user_67,1135588.3,2026-02-20 17:34:46.064634,Ibadan,transfer,17,1,1,1,NORMAL
user_39,user_32,50701.25,2026-02-23 13:40:46.064634,Abuja,transfer,13,0,1,1,NORMAL
user_28,user_28,179624.31,2026-03-23 16:35:46.064634,Abuja,deposit,16,0,0,1,NORMAL
user_48,user_46,199518.4,2026-02-07 16:34:46.064634,Port Harcourt,transfer,16,4,1,1,NORMAL
user_26,user_66,173715.62,2026-03-08 11:31:46.064634,Port Harcourt,transfer,11,4,1,1,NORMAL
user_13,user_3,64172.74,2026-03-16 07:59:46.064634,Lagos,deposit,7,3,0,1,NORMAL
user_9,user_35,42169.58,2026-03-10 17:44:46.064634,Port Harcourt,deposit,17,4,0,1,NORMAL
user_35,user_14,942705.81,2026-01-29 21:04:46.064634,Lagos,transfer,21,3,1,1,NORMAL
user_49,user_22,46700.59,2026-03-26 00:59:46.064634,Lagos,withdrawal,0,3,2,1,NORMAL
user_42,user_15,118117.87,2026-02-23 04:58:46.064634,Lagos,deposit,4,3,0,1,NORMAL
user_9,user_11,42948.15,2026-01-19 02:11:46.064634,Port Harcourt,transfer,2,4,1,1,NORMAL
user_30,user_44,1096615.19,2026-02-03 02:04:46.064634,Abuja,deposit,2,0,0,-1,ANOMALY
user_24,user_17,177139.09,2026-03-18 06:46:46.064634,Port Harcourt,transfer,6,4,1,1,NORMAL
user_4,user_45,72237.45,2026-02-03 07:30:46.064634,Kano,transfer,7,2,1,1,NORMAL
user_29,user_23,66058.58,2026-02-06 18:28:46.064634,Port Harcourt,transfer,18,4,1,1,NORMAL
user_38,user_15,39229.99,2026-03-14 00:15:46.064634,Kano,transfer,0,2,1,1,NORMAL
user_17,user_37,71075.68,2026-01-17 00:32:46.064634,Kano,transfer,0,2,1,1,NORMAL
user_49,user_57,23365.08,2026-02-22 20:33:46.064634,Lagos,withdrawal,20,3,2,1,NORMAL
user_30,user_59,107224.34,2026-01-20 17:08:46.064634,Kano,deposit,17,2,0,1,NORMAL
user_18,user_25,128027.91,2026-01-30 11:57:46.064634,Port Harcourt,transfer,11,4,1,1,NORMAL
user_32,user_49,165060.28,2026-03-16 02:52:46.064634,Lagos,withdrawal,2,3,2,1,NORMAL
user_37,user_63,9057.56,2026-01-31 14:31:46.064634,Abuja,deposit,14,0,0,1,NORMAL
user_17,user_59,177139.55,2026-02-16 19:50:46.064634,Lagos,deposit,19,3,0,1,NORMAL
user_44,user_62,15138.06,2026-03-22 19:45:46.064634,Ibadan,transfer,19,1,1,1,NORMAL
user_11,user_9,1252319.55,2026-03-07 01:04:46.064634,Port Harcourt,transfer,1,4,1,1,NORMAL
user_31,user_18,68075.01,2026-03-18 07:29:46.064634,Port Harcourt,withdrawal,7,4,2,1,NORMAL
user_49,user_16,88467.96,2026-03-13 03:41:46.064634,Lagos,withdrawal,3,3,2,1,NORMAL
user_32,user_61,59895.33,2026-03-03 11:33:46.064634,Port Harcourt,deposit,11,4,0,1,NORMAL
user_34,user_60,44553.74,2026-01-25 12:21:46.064634,Port Harcourt,transfer,12,4,1,1,NORMAL
user_14,user_37,645299.49,2026-03-17 12:03:46.064634,Port Harcourt,deposit,12,4,0,1,NORMAL
user_22,user_47,13619.66,2026-02-27 01:45:46.064634,Port Harcourt,withdrawal,1,4,2,1,NORMAL
user_21,user_20,47599.4,2026-02-14 01:24:46.064634,Ibadan,withdrawal,1,1,2,1,NORMAL
user_49,user_12,132563.95,2026-01-16 15:37:46.064634,Kano,deposit,15,2,0,1,NORMAL
user_11,user_7,76906.51,2026-03-26 08:35:46.064634,Ibadan,withdrawal,8,1,2,1,NORMAL
user_32,user_12,103957.11,2026-01-17 02:09:46.064634,Port Harcourt,transfer,2,4,1,1,NORMAL
user_1,user_48,101210.06,2026-02-10 17:31:46.064634,Ibadan,transfer,17,1,1,1,NORMAL
user_22,user_18,26864.61,2026-01-30 19:45:46.064634,Kano,withdrawal,19,2,2,1,NORMAL
user_41,user_36,15175.76,2026-02-05 11:56:46.064634,Abuja,transfer,11,0,1,1,NORMAL
user_30,user_2,102740.56,2026-03-10 11:54:46.064634,Port Harcourt,withdrawal,11,4,2,1,NORMAL
user_45,user_2,117712.46,2026-03-12 04:35:46.069630,Kano,withdrawal,4,2,2,1,NORMAL
user_10,user_15,141334.72,2026-03-08 05:14:46.069630,Ibadan,transfer,5,1,1,1,NORMAL
user_40,user_62,199854.35,2026-01-17 02:07:46.069630,Kano,withdrawal,2,2,2,1,NORMAL
user_9,user_36,50632.09,2026-01-19 15:10:46.069630,Ibadan,deposit,15,1,0,1,NORMAL
user_32,user_60,1752648.24,2026-02-21 05:55:46.069630,Abuja,deposit,5,0,0,-1,ANOMALY
user_40,user_40,23902.41,2026-01-26 17:47:46.069630,Port Harcourt,withdrawal,17,4,2,1,NORMAL
user_48,user_25,92380.25,2026-01-28 20:27:46.069630,Abuja,deposit,20,0,0,1,NORMAL
user_9,user_28,91380.46,2026-01-29 09:15:46.069630,Kano,withdrawal,9,2,2,1,NORMAL
user_7,user_28,143788.02,2026-01-21 20:35:46.069630,Abuja,transfer,20,0,1,1,NORMAL
user_2,user_26,156771.53,2026-02-13 02:31:46.069630,Ibadan,deposit,2,1,0,1,NORMAL
user_6,user_57,162323.53,2026-02-07 17:21:46.069630,Abuja,deposit,17,0,0,1,NORMAL
user_22,user_7,11927.63,2026-03-07 05:45:46.069630,Kano,withdrawal,5,2,2,1,NORMAL
user_18,user_4,29860.79,2026-02-22 10:36:46.069630,Ibadan,deposit,10,1,0,1,NORMAL
user_46,user_62,1914544.38,2026-02-02 22:52:46.069630,Port Harcourt,withdrawal,22,4,2,-1,ANOMALY
user_24,user_2,65568.6,2026-02-21 06:58:46.069630,Abuja,transfer,6,0,1,1,NORMAL
user_48,user_1,102620.01,2026-01-27 09:25:46.069630,Lagos,withdrawal,9,3,2,1,NORMAL
user_7,user_12,35789.71,2026-02-23 20:23:46.069630,Port Harcourt,transfer,20,4,1,1,NORMAL
user_22,user_56,163530.26,2026-03-18 03:30:46.069630,Lagos,withdrawal,3,3,2,1,NORMAL
user_8,user_51,106104.05,2026-01-28 14:31:46.069630,Abuja,withdrawal,14,0,2,1,NORMAL
user_10,user_52,198320.75,2026-02-26 23:33:46.069630,Abuja,transfer,23,0,1,1,NORMAL
user_41,user_24,98697.97,2026-01-21 19:40:46.069630,Lagos,deposit,19,3,0,1,NORMAL
user_3,user_36,40064.6,2026-03-23 21:32:46.069630,Ibadan,transfer,21,1,1,1,NORMAL
user_45,user_53,32279.97,2026-01-31 00:45:46.069630,Lagos,withdrawal,0,3,2,1,NORMAL
user_40,user_55,97709.11,2026-03-13 22:59:46.069630,Kano,deposit,22,2,0,1,NORMAL
user_46,user_34,38605.51,2026-01-22 00:03:46.069630,Kano,deposit,0,2,0,1,NORMAL
user_9,user_9,67004.46,2026-02-17 01:21:46.069630,Ibadan,withdrawal,1,1,2,1,NORMAL
user_19,user_45,166174.49,2026-03-12 18:53:46.069630,Ibadan,deposit,18,1,0,1,NORMAL
user_39,user_12,13386.04,2026-02-08 17:21:46.069630,Kano,withdrawal,17,2,2,1,NORMAL
user_24,user_34,59928.29,2026-01-20 03:53:46.069630,Kano,withdrawal,3,2,2,1,NORMAL
user_35,user_26,47023.49,2026-01-30 03:52:46.069630,Kano,withdrawal,3,2,2,1,NORMAL
user_15,user_21,173406.66,2026-03-12 20:54:46.069630,Kano,deposit,20,2,0,1,NORMAL
user_12,user_51,8377.32,2026-03-09 08:03:46.069630,Port Harcourt,transfer,8,4,1,1,NORMAL
user_38,user_29,153488.49,2026-02-10 07:33:46.069630,Lagos,deposit,7,3,0,1,NORMAL
user_21,user_25,45900.5,2026-02-10 14:11:46.069630,Port Harcourt,deposit,14,4,0,1,NORMAL
user_28,user_50,94877.28,2026-03-12 23:15:46.069630,Port Harcourt,withdrawal,23,4,2,1,NORMAL
user_5,user_64,193994.77,2026-02-20 18:37:46.069630,Lagos,withdrawal,18,3,2,1,NORMAL
user_2,user_12,403822.62,2026-03-23 09:12:46.069630,Lagos,deposit,9,3,0,1,NORMAL
user_23,user_34,180246.59,2026-02-09 08:52:46.069630,Abuja,deposit,8,0,0,1,NORMAL
user_25,user_36,24908.22,2026-02-11 16:18:46.069630,Abuja,transfer,16,0,1,1,NORMAL
user_42,user_33,86627.71,2026-01-17 22:53:46.069630,Abuja,withdrawal,22,0,2,1,NORMAL
user_23,user_55,126043.56,2026-02-16 06:16:46.069630,Abuja,transfer,6,0,1,1,NORMAL
user_22,user_20,783093.12,2026-03-02 14:25:46.069630,Abuja,transfer,14,0,1,1,NORMAL
user_17,user_54,107591.05,2026-03-01 15:50:46.069630,Lagos,withdrawal,15,3,2,1,NORMAL
user_8,user_27,190959.5,2026-03-03 13:04:46.069630,Lagos,transfer,13,3,1,1,NORMAL
user_34,user_50,115716.61,2026-03-07 10:30:46.069630,Port Harcourt,transfer,10,4,1,1,NORMAL
user_3,user_47,196627.74,2026-03-17 09:15:46.069630,Kano,withdrawal,9,2,2,1,NORMAL
user_41,user_27,27111.75,2026-03-05 06:28:46.069630,Ibadan,withdrawal,6,1,2,1,NORMAL
user_2,user_69,175022.36,2026-03-23 23:17:46.069630,Ibadan,withdrawal,23,1,2,1,NORMAL
user_30,user_11,129897.82,2026-03-13 00:06:46.069630,Kano,withdrawal,0,2,2,1,NORMAL
user_44,user_29,148862.59,2026-01-31 23:27:46.069630,Port Harcourt,deposit,23,4,0,1,NORMAL
user_25,user_62,57223.95,2026-01-23 18:08:46.069630,Kano,deposit,18,2,0,1,NORMAL
user_34,user_27,48550.05,2026-02-28 00:54:46.069630,Kano,withdrawal,0,2,2,1,NORMAL
user_39,user_52,70882.63,2026-02-10 14:37:46.069630,Ibadan,transfer,14,1,1,1,NORMAL
user_11,user_47,320207.41,2026-03-22 08:40:46.069630,Abuja,transfer,8,0,1,1,NORMAL
user_0,user_2,21193.64,2026-03-12 08:55:46.069630,Kano,transfer,8,2,1,1,NORMAL
user_45,user_64,150773.97,2026-01-24 13:23:46.069630,Abuja,withdrawal,13,0,2,1,NORMAL
user_47,user_30,148593.02,2026-02-20 15:23:46.069630,Port Harcourt,deposit,15,4,0,1,NORMAL
user_28,user_46,139254.91,2026-03-01 04:10:46.069630,Lagos,transfer,4,3,1,1,NORMAL
user_7,user_38,179705.69,2026-02-26 08:46:46.069630,Lagos,deposit,8,3,0,1,NORMAL
user_4,user_69,143550.58,2026-03-04 02:44:46.069630,Lagos,withdrawal,2,3,2,1,NORMAL
user_39,user_31,181709.54,2026-03-06 11:49:46.069630,Abuja,deposit,11,0,0,1,NORMAL
user_9,user_46,42852.54,2026-02-14 12:14:46.069630,Ibadan,transfer,12,1,1,1,NORMAL
user_0,user_67,9913.36,2026-03-16 06:04:46.074629,Port Harcourt,withdrawal,6,4,2,1,NORMAL
user_11,user_40,19170.09,2026-02-15 11:46:46.074629,Lagos,transfer,11,3,1,1,NORMAL
user_28,user_55,198273.4,2026-01-20 09:33:46.074629,Port Harcourt,transfer,9,4,1,1,NORMAL
user_2,user_38,68684.07,2026-01-23 11:30:46.074629,Kano,transfer,11,2,1,1,NORMAL
user_19,user_46,43231.18,2026-02-04 21:00:46.074629,Ibadan,deposit,21,1,0,1,NORMAL
user_38,user_14,112621.18,2026-02-17 02:59:46.074629,Ibadan,transfer,2,1,1,1,NORMAL
user_38,user_70,126603.52,2026-01-30 00:57:46.074629,Kano,transfer,0,2,1,1,NORMAL
user_30,user_65,149050.04,2026-03-12 10:26:46.074629,Kano,withdrawal,10,2,2,1,NORMAL
user_40,user_62,4005.58,2026-03-14 15:53:46.074629,Port Harcourt,transfer,15,4,1,1,NORMAL
user_7,user_29,77949.57,2026-01-28 20:39:46.074629,Kano,transfer,20,2,1,1,NORMAL
user_47,user_57,175135.12,2026-02-10 12:42:46.074629,Lagos,transfer,12,3,1,1,NORMAL
user_20,user_33,89586.57,2026-02-06 12:57:46.074629,Kano,deposit,12,2,0,1,NORMAL
user_28,user_16,132139.47,2026-03-12 04:32:46.074629,Port Harcourt,withdrawal,4,4,2,1,NORMAL
user_31,user_54,47252.41,2026-03-20 23:48:46.074629,Port Harcourt,transfer,23,4,1,1,NORMAL
user_5,user_64,927621.29,2026-02-14 08:10:46.074629,Kano,transfer,8,2,1,1,NORMAL
user_0,user_34,110090.41,2026-03-12 00:51:46.074629,Port Harcourt,deposit,0,4,0,1,NORMAL
user_16,user_52,177847.17,2026-01-21 12:04:46.074629,Ibadan,withdrawal,12,1,2,1,NORMAL
user_42,user_11,156687.18,2026-02-11 10:28:46.074629,Kano,deposit,10,2,0,1,NORMAL
user_27,user_22,187410.01,2026-01-30 10:24:46.074629,Port Harcourt,deposit,10,4,0,1,NORMAL
user_15,user_50,54465.08,2026-01-31 15:37:46.074629,Ibadan,deposit,15,1,0,1,NORMAL
user_21,user_9,127037.82,2026-01-17 18:13:46.074629,Lagos,deposit,18,3,0,1,NORMAL
user_33,user_56,61423.04,2026-03-24 15:48:46.074629,Abuja,withdrawal,15,0,2,1,NORMAL
user_29,user_9,40156.49,2026-02-04 23:28:46.074629,Ibadan,withdrawal,23,1,2,1,NORMAL
user_49,user_18,124482.78,2026-01-16 09:41:46.074629,Abuja,withdrawal,9,0,2,1,NORMAL
user_45,user_60,34491.92,2026-02-21 23:19:46.074629,Ibadan,deposit,23,1,0,1,NORMAL
user_30,user_69,27736.73,2026-03-17 07:19:46.074629,Ibadan,withdrawal,7,1,2,1,NORMAL
user_17,user_63,31721.75,2026-03-07 18:35:46.074629,Port Harcourt,withdrawal,18,4,2,1,NORMAL
user_34,user_6,124962.49,2026-01-31 07:07:46.074629,Lagos,deposit,7,3,0,1,NORMAL
user_34,user_35,130665.21,2026-02-14 21:41:46.074629,Lagos,deposit,21,3,0,1,NORMAL
user_17,user_32,845858.94,2026-02-21 10:55:46.074629,Port Harcourt,withdrawal,10,4,2,1,NORMAL
user_46,user_22,166208.73,2026-01-24 05:31:46.074629,Abuja,deposit,5,0,0,1,NORMAL
user_49,user_15,141539.17,2026-02-04 10:22:46.074629,Ibadan,deposit,10,1,0,1,NORMAL
user_39,user_69,5123.24,2026-03-25 04:01:46.074629,Lagos,deposit,4,3,0,1,NORMAL
user_40,user_40,25013.94,2026-02-03 04:08:46.074629,Abuja,withdrawal,4,0,2,1,NORMAL
user_13,user_26,59699.54,2026-03-04 15:40:46.074629,Kano,withdrawal,15,2,2,1,NORMAL
user_24,user_20,84167.77,2026-02-17 16:34:46.074629,Lagos,transfer,16,3,1,1,NORMAL
user_43,user_67,156443.82,2026-01-30 17:43:46.074629,Abuja,deposit,17,0,0,1,NORMAL
user_49,user_33,41727.06,2026-03-23 08:29:46.074629,Lagos,withdrawal,8,3,2,1,NORMAL
user_41,user_12,83270.36,2026-02-21 11:20:46.074629,Kano,withdrawal,11,2,2,1,NORMAL
user_2,user_27,72249.66,2026-02-03 16:00:46.074629,Kano,deposit,16,2,0,1,NORMAL
user_23,user_53,20345.05,2026-03-05 21:40:46.074629,Lagos,withdrawal,21,3,2,1,NORMAL
user_31,user_62,143173.87,2026-01-24 04:05:46.074629,Ibadan,deposit,4,1,0,1,NORMAL
user_48,user_41,1381991.9,2026-03-15 08:27:46.074629,Lagos,deposit,8,3,0,1,NORMAL
user_19,user_65,192300.87,2026-02-03 00:32:46.074629,Ibadan,deposit,0,1,0,1,NORMAL
user_17,user_27,173326.24,2026-03-03 07:24:46.074629,Lagos,deposit,7,3,0,1,NORMAL
user_26,user_50,64723.27,2026-03-14 08:04:46.074629,Ibadan,withdrawal,8,1,2,1,NORMAL
user_30,user_36,166428.77,2026-01-20 22:09:46.074629,Ibadan,transfer,22,1,1,1,NORMAL
user_10,user_67,38028.85,2026-02-07 15:54:46.074629,Abuja,withdrawal,15,0,2,1,NORMAL
user_44,user_44,382681.75,2026-01-17 09:43:46.074629,Ibadan,withdrawal,9,1,2,1,NORMAL
user_30,user_49,80008.65,2026-03-21 14:53:46.074629,Kano,deposit,14,2,0,1,NORMAL
user_14,user_34,129215.59,2026-01-19 14:32:46.074629,Port Harcourt,withdrawal,14,4,2,1,NORMAL
user_28,user_54,143233.31,2026-03-22 12:03:46.074629,Lagos,withdrawal,12,3,2,1,NORMAL
user_38,user_18,595057.92,2026-01-31 00:54:46.074629,Port Harcourt,withdrawal,0,4,2,1,NORMAL
user_43,user_50,184934.58,2026-03-09 18:48:46.074629,Lagos,withdrawal,18,3,2,1,NORMAL
user_18,user_47,164767.92,2026-01-17 06:58:46.074629,Abuja,withdrawal,6,0,2,1,NORMAL
user_5,user_18,181717.35,2026-02-18 22:42:46.074629,Lagos,withdrawal,22,3,2,1,NORMAL
user_6,user_41,1686104.2,2026-03-22 10:18:46.074629,Lagos,withdrawal,10,3,2,1,NORMAL
user_14,user_26,158297.09,2026-03-25 06:25:46.074629,Abuja,deposit,6,0,0,1,NORMAL
user_6,user_23,1175914.14,2026-01-17 21:31:46.074629,Abuja,deposit,21,0,0,-1,ANOMALY
user_3,user_2,75011.27,2026-03-12 18:16:46.074629,Port Harcourt,transfer,18,4,1,1,NORMAL
user_1,user_5,56007.92,2026-03-24 11:59:46.074629,Kano,transfer,11,2,1,1,NORMAL
user_15,user_36,50803.5,2026-02-17 15:18:46.074629,Port Harcourt,deposit,15,4,0,1,NORMAL
user_28,user_18,27885.45,2026-02-17 08:30:46.074629,Ibadan,deposit,8,1,0,1,NORMAL
user_21,user_47,557986.49,2026-02-18 18:57:46.074629,Kano,withdrawal,18,2,2,1,NORMAL
user_26,user_11,1064912.97,2026-03-15 03:06:46.079623,Abuja,deposit,3,0,0,1,NORMAL
user_30,user_1,98428.12,2026-01-24 00:04:46.079623,Ibadan,deposit,0,1,0,1,NORMAL
user_22,user_0,140522.19,2026-01-25 16:31:46.079623,Lagos,deposit,16,3,0,1,NORMAL
user_11,user_61,1878764.65,2026-01-16 22:09:46.079623,Lagos,transfer,22,3,1,-1,ANOMALY
user_30,user_4,93916.88,2026-03-12 02:12:46.079623,Ibadan,deposit,2,1,0,1,NORMAL
user_1,user_21,21817.83,2026-02-08 23:46:46.079623,Kano,deposit,23,2,0,1,NORMAL
user_25,user_8,195744.23,2026-01-30 16:35:46.079623,Port Harcourt,deposit,16,4,0,1,NORMAL
user_36,user_24,37205.74,2026-03-04 15:41:46.079623,Port Harcourt,transfer,15,4,1,1,NORMAL
user_42,user_14,163456.85,2026-03-19 07:36:46.079623,Lagos,withdrawal,7,3,2,1,NORMAL
user_33,user_43,576716.46,2026-03-01 01:50:46.079623,Abuja,withdrawal,1,0,2,1,NORMAL
user_13,user_25,187316.92,2026-01-24 14:12:46.079623,Kano,deposit,14,2,0,1,NORMAL
user_35,user_52,21455.99,2026-03-02 13:25:46.079623,Ibadan,deposit,13,1,0,1,NORMAL
user_9,user_64,611464.91,2026-03-18 09:41:46.079623,Kano,transfer,9,2,1,1,NORMAL
user_44,user_21,35152.93,2026-02-23 09:17:46.079623,Kano,deposit,9,2,0,1,NORMAL
user_10,user_13,184919.92,2026-01-25 02:37:46.079623,Lagos,transfer,2,3,1,1,NORMAL
user_6,user_25,1166583.16,2026-02-25 23:44:46.079623,Abuja,deposit,23,0,0,-1,ANOMALY
